order_id,line_no,product_id,quantity,unit_price,discount
ORD0001,1,PROD025,2,159213,0
ORD0001,2,PROD096,3,507314,0
ORD0001,3,PROD062,1,510596,0
ORD0001,4,PROD091,3,514458,0
ORD0002,5,PROD097,3,455047,0
ORD0002,6,PROD052,2,378729,0
ORD0003,7,PROD002,3,669082,0
ORD0003,8,PROD008,3,402377,0
ORD0004,9,PROD059,2,538551,0
ORD0005,10,PROD001,3,305640,0
ORD0006,11,PROD049,3,670612,0
ORD0006,12,PROD029,2,244617,0
ORD0006,13,PROD002,3,669082,0
ORD0007,14,PROD048,1,604225,0
ORD0008,15,PROD020,1,596446,0
ORD0008,16,PROD024,3,512394,0
ORD0008,17,PROD036,3,270818,0
ORD0008,18,PROD015,3,141168,0
ORD0009,19,PROD065,2,427073,0
ORD0009,20,PROD026,3,410531,0
ORD0009,21,PROD071,1,556501,55650
ORD0010,22,PROD037,1,677268,0
ORD0010,23,PROD086,2,405046,0
ORD0011,24,PROD096,2,507314,0
ORD0011,25,PROD018,3,525077,0
ORD0012,26,PROD006,3,310956,0
ORD0012,27,PROD023,3,727640,0
ORD0013,28,PROD056,3,301688,0
ORD0013,29,PROD003,3,651941,0
ORD0013,30,PROD050,3,686142,0
ORD0014,31,PROD014,1,213273,31990
ORD0015,32,PROD021,2,422319,0
ORD0016,33,PROD040,1,482131,48213
ORD0017,34,PROD023,3,727640,0
ORD0017,35,PROD081,2,682892,0
ORD0018,36,PROD065,2,427073,0
ORD0018,37,PROD071,3,556501,0
ORD0019,38,PROD058,1,642818,0
ORD0019,39,PROD100,1,313227,0
ORD0019,40,PROD071,3,556501,0
ORD0020,41,PROD018,2,525077,0
ORD0020,42,PROD072,3,502195,0
ORD0020,43,PROD054,3,422914,0
ORD0021,44,PROD044,1,627007,0
ORD0022,45,PROD027,3,371232,0
ORD0022,46,PROD060,2,394721,0
ORD0023,47,PROD005,2,551591,0
ORD0023,48,PROD006,3,310956,0
ORD0023,49,PROD077,3,248241,0
ORD0024,50,PROD094,2,196724,0
ORD0024,51,PROD068,3,419032,62854
ORD0025,52,PROD052,1,378729,56809
ORD0025,53,PROD063,2,509938,0
ORD0026,54,PROD047,1,363651,0
ORD0027,55,PROD006,1,310956,0
ORD0027,56,PROD081,1,682892,0
ORD0027,57,PROD080,1,703693,0
ORD0028,58,PROD075,2,336346,0
ORD0028,59,PROD029,1,244617,0
ORD0028,60,PROD023,1,727640,0
ORD0028,61,PROD083,1,198041,0
ORD0029,62,PROD008,3,402377,60356
ORD0029,63,PROD075,2,336346,0
ORD0030,64,PROD030,1,403937,0
ORD0030,65,PROD047,2,363651,0
ORD0030,66,PROD076,3,562046,28102
ORD0031,67,PROD085,1,426554,0
ORD0032,68,PROD082,3,614446,92166
ORD0032,69,PROD085,1,426554,0
ORD0033,70,PROD009,3,338351,0
ORD0033,71,PROD070,3,187927,0
ORD0034,72,PROD100,1,313227,31322
ORD0034,73,PROD097,3,455047,0
ORD0035,74,PROD061,2,331617,0
ORD0036,75,PROD007,2,743757,0
ORD0036,76,PROD005,2,551591,27579
ORD0037,77,PROD066,3,504106,0
ORD0038,78,PROD042,3,267675,0
ORD0038,79,PROD021,3,422319,0
ORD0038,80,PROD062,3,510596,0
ORD0039,81,PROD013,2,653820,0
ORD0040,82,PROD097,2,455047,0
ORD0040,83,PROD079,3,375967,0
ORD0041,84,PROD001,3,305640,0
ORD0041,85,PROD048,2,604225,0
ORD0041,86,PROD060,2,394721,0
ORD0041,87,PROD026,3,410531,0
ORD0042,88,PROD017,2,661945,0
ORD0043,89,PROD033,3,203669,0
ORD0044,90,PROD042,1,267675,0
ORD0045,91,PROD056,2,301688,0
ORD0046,92,PROD014,1,213273,0
ORD0047,93,PROD094,3,196724,0
ORD0048,94,PROD081,1,682892,0
ORD0048,95,PROD029,2,244617,0
ORD0048,96,PROD044,2,627007,0
ORD0048,97,PROD041,3,197248,0
ORD0049,98,PROD086,1,405046,0
ORD0050,99,PROD037,1,677268,0
ORD0050,100,PROD010,2,364274,0
ORD0050,101,PROD063,1,509938,0
ORD0051,102,PROD004,1,653272,0
ORD0051,103,PROD097,2,455047,0
ORD0052,104,PROD074,1,590000,0
ORD0052,105,PROD052,3,378729,0
ORD0053,106,PROD020,3,596446,0
ORD0053,107,PROD095,1,516935,0
ORD0054,108,PROD064,1,318346,0
ORD0054,109,PROD082,1,614446,92166
ORD0054,110,PROD018,2,525077,0
ORD0054,111,PROD098,3,349122,0
ORD0055,112,PROD082,3,614446,30722
ORD0055,113,PROD013,1,653820,0
ORD0055,114,PROD084,2,526981,0
ORD0056,115,PROD008,3,402377,0
ORD0056,116,PROD094,3,196724,0
ORD0057,117,PROD039,2,369506,0
ORD0058,118,PROD078,2,559431,0
ORD0059,119,PROD041,2,197248,0
ORD0060,120,PROD062,3,510596,0
ORD0061,121,PROD052,1,378729,0
ORD0061,122,PROD061,1,331617,0
ORD0061,123,PROD095,2,516935,0
ORD0061,124,PROD005,3,551591,0
ORD0062,125,PROD005,3,551591,0
ORD0063,126,PROD100,1,313227,0
ORD0063,127,PROD054,3,422914,0
ORD0063,128,PROD013,3,653820,0
ORD0064,129,PROD095,3,516935,0
ORD0064,130,PROD078,3,559431,0
ORD0064,131,PROD007,2,743757,0
ORD0065,132,PROD059,1,538551,0
ORD0065,133,PROD056,1,301688,0
ORD0065,134,PROD012,2,591062,0
ORD0066,135,PROD035,1,573870,0
ORD0066,136,PROD065,3,427073,0
ORD0067,137,PROD056,2,301688,0
ORD0067,138,PROD017,2,661945,0
ORD0068,139,PROD095,1,516935,0
ORD0068,140,PROD094,2,196724,0
ORD0068,141,PROD040,3,482131,0
ORD0069,142,PROD043,3,319565,0
ORD0070,143,PROD025,3,159213,0
ORD0070,144,PROD095,3,516935,0
ORD0070,145,PROD082,3,614446,0
ORD0070,146,PROD022,2,643656,0
ORD0071,147,PROD012,1,591062,0
ORD0072,148,PROD069,2,377548,0
ORD0072,149,PROD045,3,507706,50770
ORD0073,150,PROD054,1,422914,0
ORD0073,151,PROD023,2,727640,0
ORD0074,152,PROD097,3,455047,0
ORD0075,153,PROD057,2,567185,0
ORD0076,154,PROD058,1,642818,0
ORD0076,155,PROD002,1,669082,0
ORD0076,156,PROD049,1,670612,0
ORD0077,157,PROD084,1,526981,52698
ORD0077,158,PROD018,1,525077,0
ORD0077,159,PROD019,2,544547,0
